provincia,ano,semana,total_casos,periodo
ALTO AMAZONAS,2011,1,2,2011.0188679245282
ALTO AMAZONAS,2011,2,2,2011.0377358490566
ALTO AMAZONAS,2011,3,2,2011.0566037735848
ALTO AMAZONAS,2011,4,5,2011.0754716981132
ALTO AMAZONAS,2011,5,1,2011.0943396226414
ALTO AMAZONAS,2011,6,1,2011.1132075471698
ALTO AMAZONAS,2011,7,1,2011.132075471698
ALTO AMAZONAS,2011,8,4,2011.1509433962265
ALTO AMAZONAS,2011,11,1,2011.2075471698113
ALTO AMAZONAS,2011,12,2,2011.2264150943397
ALTO AMAZONAS,2011,13,6,2011.245283018868
ALTO AMAZONAS,2011,14,2,2011.2641509433963
ALTO AMAZONAS,2011,15,2,2011.2830188679245
ALTO AMAZONAS,2011,16,2,2011.301886792453
ALTO AMAZONAS,2011,17,1,2011.3207547169811
ALTO AMAZONAS,2011,18,3,2011.3396226415093
ALTO AMAZONAS,2011,19,1,2011.3584905660377
ALTO AMAZONAS,2011,20,2,2011.377358490566
ALTO AMAZONAS,2011,22,2,2011.4150943396226
ALTO AMAZONAS,2011,23,1,2011.433962264151
ALTO AMAZONAS,2011,24,3,2011.4528301886792
ALTO AMAZONAS,2011,25,3,2011.4716981132076
ALTO AMAZONAS,2011,26,2,2011.4905660377358
ALTO AMAZONAS,2011,27,2,2011.5094339622642
ALTO AMAZONAS,2011,28,2,2011.5283018867924
ALTO AMAZONAS,2011,29,3,2011.5471698113208
ALTO AMAZONAS,2011,30,3,2011.566037735849
ALTO AMAZONAS,2011,31,2,2011.5849056603774
ALTO AMAZONAS,2011,34,2,2011.6415094339623
ALTO AMAZONAS,2011,35,1,2011.6603773584907
ALTO AMAZONAS,2011,37,1,2011.698113207547
ALTO AMAZONAS,2011,38,3,2011.7169811320755
ALTO AMAZONAS,2011,40,2,2011.754716981132
ALTO AMAZONAS,2011,41,5,2011.7735849056603
ALTO AMAZONAS,2011,42,1,2011.7924528301887
ALTO AMAZONAS,2011,44,1,2011.8301886792453
ALTO AMAZONAS,2011,45,1,2011.8490566037735
ALTO AMAZONAS,2011,46,2,2011.867924528302
ALTO AMAZONAS,2011,47,2,2011.8867924528302
ALTO AMAZONAS,2011,48,1,2011.9056603773586
ALTO AMAZONAS,2011,49,5,2011.9245283018868
ALTO AMAZONAS,2011,50,2,2011.9433962264152
ALTO AMAZONAS,2011,51,3,2011.9622641509434
ALTO AMAZONAS,2011,52,4,2011.9811320754718
ALTO AMAZONAS,2012,1,5,2012.0188679245282
ALTO AMAZONAS,2012,2,6,2012.0377358490566
ALTO AMAZONAS,2012,3,8,2012.0566037735848
ALTO AMAZONAS,2012,4,8,2012.0754716981132
ALTO AMAZONAS,2012,5,2,2012.0943396226414
ALTO AMAZONAS,2012,6,2,2012.1132075471698
ALTO AMAZONAS,2012,7,7,2012.132075471698
ALTO AMAZONAS,2012,8,6,2012.1509433962265
ALTO AMAZONAS,2012,9,4,2012.1698113207547
ALTO AMAZONAS,2012,10,2,2012.188679245283
ALTO AMAZONAS,2012,11,1,2012.2075471698113
ALTO AMAZONAS,2012,12,2,2012.2264150943397
ALTO AMAZONAS,2012,15,1,2012.2830188679245
ALTO AMAZONAS,2012,16,5,2012.301886792453
ALTO AMAZONAS,2012,17,1,2012.3207547169811
ALTO AMAZONAS,2012,18,2,2012.3396226415093
ALTO AMAZONAS,2012,19,6,2012.3584905660377
ALTO AMAZONAS,2012,20,2,2012.377358490566
ALTO AMAZONAS,2012,22,4,2012.4150943396226
ALTO AMAZONAS,2012,23,5,2012.433962264151
ALTO AMAZONAS,2012,24,8,2012.4528301886792
ALTO AMAZONAS,2012,26,2,2012.4905660377358
ALTO AMAZONAS,2012,27,13,2012.5094339622642
ALTO AMAZONAS,2012,28,24,2012.5283018867924
ALTO AMAZONAS,2012,29,7,2012.5471698113208
ALTO AMAZONAS,2012,30,4,2012.566037735849
ALTO AMAZONAS,2012,31,3,2012.5849056603774
ALTO AMAZONAS,2012,32,12,2012.6037735849056
ALTO AMAZONAS,2012,33,8,2012.622641509434
ALTO AMAZONAS,2012,34,7,2012.6415094339623
ALTO AMAZONAS,2012,35,8,2012.6603773584907
ALTO AMAZONAS,2012,36,2,2012.6792452830189
ALTO AMAZONAS,2012,37,8,2012.698113207547
ALTO AMAZONAS,2012,38,7,2012.7169811320755
ALTO AMAZONAS,2012,40,3,2012.754716981132
ALTO AMAZONAS,2012,41,3,2012.7735849056603
ALTO AMAZONAS,2012,42,8,2012.7924528301887
ALTO AMAZONAS,2012,43,3,2012.811320754717
ALTO AMAZONAS,2012,44,4,2012.8301886792453
ALTO AMAZONAS,2012,45,6,2012.8490566037735
ALTO AMAZONAS,2012,46,3,2012.867924528302
ALTO AMAZONAS,2012,47,5,2012.8867924528302
ALTO AMAZONAS,2012,48,3,2012.9056603773586
ALTO AMAZONAS,2012,49,5,2012.9245283018868
ALTO AMAZONAS,2012,50,5,2012.9433962264152
ALTO AMAZONAS,2012,51,3,2012.9622641509434
ALTO AMAZONAS,2012,52,6,2012.9811320754718
ALTO AMAZONAS,2013,1,17,2013.0188679245282
ALTO AMAZONAS,2013,2,10,2013.0377358490566
ALTO AMAZONAS,2013,3,8,2013.0566037735848
ALTO AMAZONAS,2013,4,7,2013.0754716981132
ALTO AMAZONAS,2013,5,25,2013.0943396226414
ALTO AMAZONAS,2013,6,14,2013.1132075471698
ALTO AMAZONAS,2013,7,13,2013.132075471698
ALTO AMAZONAS,2013,8,10,2013.1509433962265
ALTO AMAZONAS,2013,9,11,2013.1698113207547
ALTO AMAZONAS,2013,10,4,2013.188679245283
ALTO AMAZONAS,2013,11,12,2013.2075471698113
ALTO AMAZONAS,2013,12,12,2013.2264150943397
ALTO AMAZONAS,2013,13,21,2013.245283018868
ALTO AMAZONAS,2013,14,6,2013.2641509433963
ALTO AMAZONAS,2013,15,9,2013.2830188679245
ALTO AMAZONAS,2013,16,4,2013.301886792453
ALTO AMAZONAS,2013,17,2,2013.3207547169811
ALTO AMAZONAS,2013,18,5,2013.3396226415093
ALTO AMAZONAS,2013,19,7,2013.3584905660377
ALTO AMAZONAS,2013,20,15,2013.377358490566
ALTO AMAZONAS,2013,21,6,2013.3962264150944
ALTO AMAZONAS,2013,22,5,2013.4150943396226
ALTO AMAZONAS,2013,23,4,2013.433962264151
ALTO AMAZONAS,2013,24,6,2013.4528301886792
